sample_idx,opponent,strategy,chosen_action,predicted_opponent_action,actual_opponent_action,reward
204,Grim Trigger,Explicit Opponent Simulation,D,D,D,1.0
205,Always Defect,Prompt-Based Opponent Reasoning,D,,D,1.0
205,Always Defect,Explicit Opponent Simulation,D,D,D,1.0
206,Alternating,Prompt-Based Opponent Reasoning,D,,C,5.0
206,Alternating,Explicit Opponent Simulation,D,C,C,5.0
207,Tit-for-Tat,Prompt-Based Opponent Reasoning,C,,D,0.0
207,Tit-for-Tat,Explicit Opponent Simulation,D,D,D,1.0
208,Tit-for-Tat,Prompt-Based Opponent Reasoning,C,,D,0.0
208,Tit-for-Tat,Explicit Opponent Simulation,D,D,D,1.0
209,Grim Trigger,Prompt-Based Opponent Reasoning,D,,D,1.0
209,Grim Trigger,Explicit Opponent Simulation,D,D,D,1.0
210,Tit-for-Tat,Prompt-Based Opponent Reasoning,C,,C,3.0
210,Tit-for-Tat,Explicit Opponent Simulation,D,C,C,5.0
211,Always Defect,Prompt-Based Opponent Reasoning,D,,D,1.0
211,Always Defect,Explicit Opponent Simulation,D,D,D,1.0
212,Tit-for-Tat,Prompt-Based Opponent Reasoning,C,,C,3.0
212,Tit-for-Tat,Explicit Opponent Simulation,D,C,C,5.0
213,Tit-for-Tat,Prompt-Based Opponent Reasoning,C,,D,0.0
213,Tit-for-Tat,Explicit Opponent Simulation,D,D,D,1.0
214,Alternating,Prompt-Based Opponent Reasoning,D,,D,1.0
214,Alternating,Explicit Opponent Simulation,D,D,D,1.0
215,Always Defect,Prompt-Based Opponent Reasoning,D,,D,1.0
215,Always Defect,Explicit Opponent Simulation,D,D,D,1.0
216,Always Cooperate,Prompt-Based Opponent Reasoning,D,,C,5.0
216,Always Cooperate,Explicit Opponent Simulation,D,C,C,5.0
217,Always Cooperate,Prompt-Based Opponent Reasoning,D,,C,5.0
217,Always Cooperate,Explicit Opponent Simulation,D,C,C,5.0
218,Alternating,Prompt-Based Opponent Reasoning,D,,D,1.0
218,Alternating,Explicit Opponent Simulation,D,D,D,1.0
219,Always Defect,Prompt-Based Opponent Reasoning,D,,D,1.0
219,Always Defect,Explicit Opponent Simulation,D,D,D,1.0
220,Grim Trigger,Prompt-Based Opponent Reasoning,D,,D,1.0
220,Grim Trigger,Explicit Opponent Simulation,D,D,D,1.0
221,Tit-for-Tat,Prompt-Based Opponent Reasoning,C,,D,0.0
221,Tit-for-Tat,Explicit Opponent Simulation,D,D,D,1.0
222,Alternating,Prompt-Based Opponent Reasoning,D,,D,1.0
222,Alternating,Explicit Opponent Simulation,D,D,D,1.0
223,Alternating,Prompt-Based Opponent Reasoning,D,,D,1.0
223,Alternating,Explicit Opponent Simulation,D,D,D,1.0
224,Tit-for-Tat,Prompt-Based Opponent Reasoning,C,,C,3.0
224,Tit-for-Tat,Explicit Opponent Simulation,D,C,C,5.0
225,Always Cooperate,Prompt-Based Opponent Reasoning,D,,C,5.0
225,Always Cooperate,Explicit Opponent Simulation,D,C,C,5.0
226,Always Cooperate,Prompt-Based Opponent Reasoning,D,,C,5.0
226,Always Cooperate,Explicit Opponent Simulation,D,C,C,5.0
227,Tit-for-Tat,Prompt-Based Opponent Reasoning,C,,D,0.0
227,Tit-for-Tat,Explicit Opponent Simulation,D,D,D,1.0
228,Tit-for-Tat,Prompt-Based Opponent Reasoning,C,,C,3.0
228,Tit-for-Tat,Explicit Opponent Simulation,D,C,C,5.0
229,Always Defect,Prompt-Based Opponent Reasoning,D,,D,1.0
229,Always Defect,Explicit Opponent Simulation,D,D,D,1.0
230,Grim Trigger,Prompt-Based Opponent Reasoning,D,,D,1.0
230,Grim Trigger,Explicit Opponent Simulation,D,D,D,1.0
231,Tit-for-Tat,Prompt-Based Opponent Reasoning,C,,D,0.0
231,Tit-for-Tat,Explicit Opponent Simulation,D,D,D,1.0
232,Always Defect,Prompt-Based Opponent Reasoning,D,,D,1.0
232,Always Defect,Explicit Opponent Simulation,D,D,D,1.0
233,Grim Trigger,Prompt-Based Opponent Reasoning,D,,D,1.0
233,Grim Trigger,Explicit Opponent Simulation,D,D,D,1.0
234,Grim Trigger,Prompt-Based Opponent Reasoning,D,,D,1.0
234,Grim Trigger,Explicit Opponent Simulation,D,D,D,1.0
235,Alternating,Prompt-Based Opponent Reasoning,D,,C,5.0
235,Alternating,Explicit Opponent Simulation,D,C,C,5.0
236,Always Cooperate,Prompt-Based Opponent Reasoning,D,,C,5.0
236,Always Cooperate,Explicit Opponent Simulation,D,C,C,5.0
237,Always Defect,Prompt-Based Opponent Reasoning,D,,D,1.0
237,Always Defect,Explicit Opponent Simulation,D,D,D,1.0
238,Always Cooperate,Prompt-Based Opponent Reasoning,D,,C,5.0
238,Always Cooperate,Explicit Opponent Simulation,D,C,C,5.0
239,Always Defect,Prompt-Based Opponent Reasoning,D,,D,1.0
239,Always Defect,Explicit Opponent Simulation,D,D,D,1.0
240,Tit-for-Tat,Prompt-Based Opponent Reasoning,C,,D,0.0
240,Tit-for-Tat,Explicit Opponent Simulation,D,D,D,1.0
241,Always Defect,Prompt-Based Opponent Reasoning,D,,D,1.0
241,Always Defect,Explicit Opponent Simulation,D,D,D,1.0
242,Tit-for-Tat,Prompt-Based Opponent Reasoning,C,,D,0.0
242,Tit-for-Tat,Explicit Opponent Simulation,D,D,D,1.0
243,Always Cooperate,Prompt-Based Opponent Reasoning,D,,C,5.0
243,Always Cooperate,Explicit Opponent Simulation,D,C,C,5.0
244,Alternating,Prompt-Based Opponent Reasoning,D,,D,1.0
244,Alternating,Explicit Opponent Simulation,D,D,D,1.0
245,Always Cooperate,Prompt-Based Opponent Reasoning,D,,C,5.0
245,Always Cooperate,Explicit Opponent Simulation,D,C,C,5.0
246,Tit-for-Tat,Prompt-Based Opponent Reasoning,C,,D,0.0
246,Tit-for-Tat,Explicit Opponent Simulation,D,D,D,1.0
247,Tit-for-Tat,Prompt-Based Opponent Reasoning,C,,C,3.0
247,Tit-for-Tat,Explicit Opponent Simulation,D,C,C,5.0
248,Tit-for-Tat,Prompt-Based Opponent Reasoning,C,,D,0.0
248,Tit-for-Tat,Explicit Opponent Simulation,D,D,D,1.0
249,Grim Trigger,Prompt-Based Opponent Reasoning,C,,C,3.0
249,Grim Trigger,Explicit Opponent Simulation,D,C,C,5.0
250,Always Defect,Prompt-Based Opponent Reasoning,D,,D,1.0
250,Always Defect,Explicit Opponent Simulation,D,D,D,1.0
251,Alternating,Prompt-Based Opponent Reasoning,D,,C,5.0
251,Alternating,Explicit Opponent Simulation,D,C,C,5.0
252,Always Defect,Prompt-Based Opponent Reasoning,D,,D,1.0
252,Always Defect,Explicit Opponent Simulation,D,D,D,1.0
253,Always Defect,Prompt-Based Opponent Reasoning,D,,D,1.0
253,Always Defect,Explicit Opponent Simulation,D,D,D,1.0
254,Always Defect,Prompt-Based Opponent Reasoning,D,,D,1.0
254,Always Defect,Explicit Opponent Simulation,D,D,D,1.0
255,Always Cooperate,Prompt-Based Opponent Reasoning,D,,C,5.0
255,Always Cooperate,Explicit Opponent Simulation,D,C,C,5.0
256,Grim Trigger,Prompt-Based Opponent Reasoning,C,,C,3.0
256,Grim Trigger,Explicit Opponent Simulation,D,C,C,5.0
257,Tit-for-Tat,Prompt-Based Opponent Reasoning,C,,D,0.0
257,Tit-for-Tat,Explicit Opponent Simulation,D,D,D,1.0
258,Alternating,Prompt-Based Opponent Reasoning,D,,D,1.0
258,Alternating,Explicit Opponent Simulation,D,D,D,1.0
259,Alternating,Prompt-Based Opponent Reasoning,D,,D,1.0
259,Alternating,Explicit Opponent Simulation,D,D,D,1.0
260,Grim Trigger,Prompt-Based Opponent Reasoning,D,,D,1.0
260,Grim Trigger,Explicit Opponent Simulation,D,D,D,1.0
261,Always Cooperate,Prompt-Based Opponent Reasoning,D,,C,5.0
261,Always Cooperate,Explicit Opponent Simulation,D,C,C,5.0
262,Alternating,Prompt-Based Opponent Reasoning,D,,C,5.0
262,Alternating,Explicit Opponent Simulation,D,C,C,5.0
263,Alternating,Prompt-Based Opponent Reasoning,D,,C,5.0
263,Alternating,Explicit Opponent Simulation,D,C,C,5.0
264,Always Defect,Prompt-Based Opponent Reasoning,D,,D,1.0
264,Always Defect,Explicit Opponent Simulation,D,D,D,1.0
265,Grim Trigger,Prompt-Based Opponent Reasoning,D,,D,1.0
265,Grim Trigger,Explicit Opponent Simulation,D,D,D,1.0
266,Alternating,Prompt-Based Opponent Reasoning,D,,C,5.0
266,Alternating,Explicit Opponent Simulation,D,C,C,5.0
267,Always Defect,Prompt-Based Opponent Reasoning,D,,D,1.0
267,Always Defect,Explicit Opponent Simulation,D,D,D,1.0
268,Grim Trigger,Prompt-Based Opponent Reasoning,D,,D,1.0
268,Grim Trigger,Explicit Opponent Simulation,D,D,D,1.0
269,Grim Trigger,Prompt-Based Opponent Reasoning,D,,D,1.0
269,Grim Trigger,Explicit Opponent Simulation,D,D,D,1.0
270,Tit-for-Tat,Prompt-Based Opponent Reasoning,C,,D,0.0
270,Tit-for-Tat,Explicit Opponent Simulation,D,D,D,1.0
271,Grim Trigger,Prompt-Based Opponent Reasoning,D,,D,1.0
271,Grim Trigger,Explicit Opponent Simulation,D,D,D,1.0
272,Always Cooperate,Prompt-Based Opponent Reasoning,D,,C,5.0
272,Always Cooperate,Explicit Opponent Simulation,D,C,C,5.0
273,Always Defect,Prompt-Based Opponent Reasoning,D,,D,1.0
273,Always Defect,Explicit Opponent Simulation,D,D,D,1.0
274,Always Cooperate,Prompt-Based Opponent Reasoning,D,,C,5.0
274,Always Cooperate,Explicit Opponent Simulation,D,C,C,5.0
275,Always Defect,Prompt-Based Opponent Reasoning,D,,D,1.0
275,Always Defect,Explicit Opponent Simulation,D,D,D,1.0
276,Grim Trigger,Prompt-Based Opponent Reasoning,D,,D,1.0
276,Grim Trigger,Explicit Opponent Simulation,D,D,D,1.0
277,Always Cooperate,Prompt-Based Opponent Reasoning,D,,C,5.0
277,Always Cooperate,Explicit Opponent Simulation,D,C,C,5.0
278,Grim Trigger,Prompt-Based Opponent Reasoning,D,,D,1.0
278,Grim Trigger,Explicit Opponent Simulation,D,D,D,1.0
279,Always Defect,Prompt-Based Opponent Reasoning,D,,D,1.0
279,Always Defect,Explicit Opponent Simulation,D,D,D,1.0
280,Alternating,Prompt-Based Opponent Reasoning,D,,D,1.0
280,Alternating,Explicit Opponent Simulation,D,D,D,1.0
281,Tit-for-Tat,Prompt-Based Opponent Reasoning,C,,C,3.0
281,Tit-for-Tat,Explicit Opponent Simulation,D,C,C,5.0
282,Grim Trigger,Prompt-Based Opponent Reasoning,D,,D,1.0
282,Grim Trigger,Explicit Opponent Simulation,D,D,D,1.0
283,Grim Trigger,Prompt-Based Opponent Reasoning,D,,D,1.0
283,Grim Trigger,Explicit Opponent Simulation,D,D,D,1.0
284,Alternating,Prompt-Based Opponent Reasoning,D,,C,5.0
284,Alternating,Explicit Opponent Simulation,D,C,C,5.0
285,Tit-for-Tat,Prompt-Based Opponent Reasoning,C,,C,3.0
285,Tit-for-Tat,Explicit Opponent Simulation,D,C,C,5.0
286,Always Cooperate,Prompt-Based Opponent Reasoning,D,,C,5.0
286,Always Cooperate,Explicit Opponent Simulation,D,C,C,5.0
287,Always Defect,Prompt-Based Opponent Reasoning,D,,D,1.0
287,Always Defect,Explicit Opponent Simulation,D,D,D,1.0
288,Alternating,Prompt-Based Opponent Reasoning,D,,D,1.0
288,Alternating,Explicit Opponent Simulation,D,D,D,1.0
289,Always Defect,Prompt-Based Opponent Reasoning,D,,D,1.0
289,Always Defect,Explicit Opponent Simulation,D,D,D,1.0
290,Tit-for-Tat,Prompt-Based Opponent Reasoning,C,,C,3.0
290,Tit-for-Tat,Explicit Opponent Simulation,D,C,C,5.0
291,Tit-for-Tat,Prompt-Based Opponent Reasoning,C,,C,3.0
291,Tit-for-Tat,Explicit Opponent Simulation,D,C,C,5.0
292,Grim Trigger,Prompt-Based Opponent Reasoning,C,,C,3.0
292,Grim Trigger,Explicit Opponent Simulation,D,C,C,5.0
293,Alternating,Prompt-Based Opponent Reasoning,D,,C,5.0
293,Alternating,Explicit Opponent Simulation,D,C,C,5.0
294,Tit-for-Tat,Prompt-Based Opponent Reasoning,C,,C,3.0
294,Tit-for-Tat,Explicit Opponent Simulation,D,C,C,5.0
295,Grim Trigger,Prompt-Based Opponent Reasoning,D,,D,1.0
295,Grim Trigger,Explicit Opponent Simulation,D,D,D,1.0
296,Tit-for-Tat,Prompt-Based Opponent Reasoning,C,,C,3.0
296,Tit-for-Tat,Explicit Opponent Simulation,D,C,C,5.0
297,Alternating,Prompt-Based Opponent Reasoning,D,,C,5.0
297,Alternating,Explicit Opponent Simulation,D,C,C,5.0
298,Always Cooperate,Prompt-Based Opponent Reasoning,D,,C,5.0
298,Always Cooperate,Explicit Opponent Simulation,D,C,C,5.0
299,Tit-for-Tat,Prompt-Based Opponent Reasoning,C,,C,3.0
299,Tit-for-Tat,Explicit Opponent Simulation,D,C,C,5.0
300,Always Cooperate,Prompt-Based Opponent Reasoning,D,,C,5.0
300,Always Cooperate,Explicit Opponent Simulation,D,C,C,5.0
301,Always Cooperate,Prompt-Based Opponent Reasoning,D,,C,5.0
301,Always Cooperate,Explicit Opponent Simulation,D,C,C,5.0
302,Alternating,Prompt-Based Opponent Reasoning,D,,C,5.0
302,Alternating,Explicit Opponent Simulation,D,C,C,5.0
303,Always Cooperate,Prompt-Based Opponent Reasoning,D,,C,5.0
303,Always Cooperate,Explicit Opponent Simulation,D,C,C,5.0
304,Always Cooperate,Prompt-Based Opponent Reasoning,D,,C,5.0
304,Always Cooperate,Explicit Opponent Simulation,D,C,C,5.0
305,Tit-for-Tat,Prompt-Based Opponent Reasoning,C,,C,3.0
305,Tit-for-Tat,Explicit Opponent Simulation,D,C,C,5.0
306,Alternating,Prompt-Based Opponent Reasoning,D,,C,5.0
306,Alternating,Explicit Opponent Simulation,D,C,C,5.0
307,Always Cooperate,Prompt-Based Opponent Reasoning,D,,C,5.0
307,Always Cooperate,Explicit Opponent Simulation,D,C,C,5.0
308,Tit-for-Tat,Prompt-Based Opponent Reasoning,C,,D,0.0
308,Tit-for-Tat,Explicit Opponent Simulation,D,D,D,1.0
309,Alternating,Prompt-Based Opponent Reasoning,D,,C,5.0
309,Alternating,Explicit Opponent Simulation,D,C,C,5.0
310,Grim Trigger,Prompt-Based Opponent Reasoning,C,,C,3.0
310,Grim Trigger,Explicit Opponent Simulation,D,C,C,5.0
311,Always Cooperate,Prompt-Based Opponent Reasoning,D,,C,5.0
311,Always Cooperate,Explicit Opponent Simulation,D,C,C,5.0
312,Always Defect,Prompt-Based Opponent Reasoning,D,,D,1.0
312,Always Defect,Explicit Opponent Simulation,D,D,D,1.0
313,Grim Trigger,Prompt-Based Opponent Reasoning,D,,D,1.0
313,Grim Trigger,Explicit Opponent Simulation,D,D,D,1.0
314,Always Defect,Prompt-Based Opponent Reasoning,D,,D,1.0
314,Always Defect,Explicit Opponent Simulation,D,D,D,1.0
315,Alternating,Prompt-Based Opponent Reasoning,D,,D,1.0
315,Alternating,Explicit Opponent Simulation,D,D,D,1.0
316,Alternating,Prompt-Based Opponent Reasoning,D,,C,5.0
316,Alternating,Explicit Opponent Simulation,D,C,C,5.0
317,Always Defect,Prompt-Based Opponent Reasoning,D,,D,1.0
317,Always Defect,Explicit Opponent Simulation,D,D,D,1.0
318,Always Defect,Prompt-Based Opponent Reasoning,D,,D,1.0
318,Always Defect,Explicit Opponent Simulation,D,D,D,1.0
319,Always Cooperate,Prompt-Based Opponent Reasoning,D,,C,5.0
319,Always Cooperate,Explicit Opponent Simulation,D,C,C,5.0
320,Always Cooperate,Prompt-Based Opponent Reasoning,D,,C,5.0
320,Always Cooperate,Explicit Opponent Simulation,D,C,C,5.0
321,Grim Trigger,Prompt-Based Opponent Reasoning,D,,D,1.0
321,Grim Trigger,Explicit Opponent Simulation,D,D,D,1.0
322,Always Defect,Prompt-Based Opponent Reasoning,D,,D,1.0
322,Always Defect,Explicit Opponent Simulation,D,D,D,1.0
323,Always Defect,Prompt-Based Opponent Reasoning,D,,D,1.0
323,Always Defect,Explicit Opponent Simulation,D,D,D,1.0
324,Always Defect,Prompt-Based Opponent Reasoning,D,,D,1.0
324,Always Defect,Explicit Opponent Simulation,D,D,D,1.0
325,Alternating,Prompt-Based Opponent Reasoning,D,,D,1.0
325,Alternating,Explicit Opponent Simulation,D,D,D,1.0
326,Always Defect,Prompt-Based Opponent Reasoning,D,,D,1.0
326,Always Defect,Explicit Opponent Simulation,D,D,D,1.0
327,Always Defect,Prompt-Based Opponent Reasoning,D,,D,1.0
327,Always Defect,Explicit Opponent Simulation,D,D,D,1.0
328,Grim Trigger,Prompt-Based Opponent Reasoning,C,,C,3.0
328,Grim Trigger,Explicit Opponent Simulation,D,C,C,5.0
329,Tit-for-Tat,Prompt-Based Opponent Reasoning,C,,D,0.0
329,Tit-for-Tat,Explicit Opponent Simulation,D,D,D,1.0
330,Grim Trigger,Prompt-Based Opponent Reasoning,D,,D,1.0
330,Grim Trigger,Explicit Opponent Simulation,D,D,D,1.0
331,Alternating,Prompt-Based Opponent Reasoning,D,,C,5.0
331,Alternating,Explicit Opponent Simulation,D,C,C,5.0
332,Alternating,Prompt-Based Opponent Reasoning,D,,C,5.0
332,Alternating,Explicit Opponent Simulation,D,C,C,5.0
333,Grim Trigger,Prompt-Based Opponent Reasoning,D,,D,1.0
333,Grim Trigger,Explicit Opponent Simulation,D,D,D,1.0
334,Grim Trigger,Prompt-Based Opponent Reasoning,D,,D,1.0
334,Grim Trigger,Explicit Opponent Simulation,D,D,D,1.0
335,Grim Trigger,Prompt-Based Opponent Reasoning,D,,D,1.0
335,Grim Trigger,Explicit Opponent Simulation,D,D,D,1.0
336,Alternating,Prompt-Based Opponent Reasoning,D,,D,1.0
336,Alternating,Explicit Opponent Simulation,D,D,D,1.0
337,Grim Trigger,Prompt-Based Opponent Reasoning,C,,C,3.0
337,Grim Trigger,Explicit Opponent Simulation,D,C,C,5.0
338,Always Cooperate,Prompt-Based Opponent Reasoning,D,,C,5.0
338,Always Cooperate,Explicit Opponent Simulation,D,C,C,5.0
339,Grim Trigger,Prompt-Based Opponent Reasoning,D,,D,1.0
339,Grim Trigger,Explicit Opponent Simulation,D,D,D,1.0
340,Always Cooperate,Prompt-Based Opponent Reasoning,D,,C,5.0
340,Always Cooperate,Explicit Opponent Simulation,D,C,C,5.0
341,Grim Trigger,Prompt-Based Opponent Reasoning,D,,D,1.0
341,Grim Trigger,Explicit Opponent Simulation,D,D,D,1.0
342,Always Cooperate,Prompt-Based Opponent Reasoning,D,,C,5.0
342,Always Cooperate,Explicit Opponent Simulation,D,C,C,5.0
343,Tit-for-Tat,Prompt-Based Opponent Reasoning,C,,D,0.0
343,Tit-for-Tat,Explicit Opponent Simulation,D,D,D,1.0
344,Always Defect,Prompt-Based Opponent Reasoning,D,,D,1.0
344,Always Defect,Explicit Opponent Simulation,D,D,D,1.0
345,Always Cooperate,Prompt-Based Opponent Reasoning,D,,C,5.0
345,Always Cooperate,Explicit Opponent Simulation,D,C,C,5.0
346,Grim Trigger,Prompt-Based Opponent Reasoning,D,,D,1.0
346,Grim Trigger,Explicit Opponent Simulation,D,D,D,1.0
347,Always Cooperate,Prompt-Based Opponent Reasoning,D,,C,5.0
347,Always Cooperate,Explicit Opponent Simulation,D,C,C,5.0
348,Grim Trigger,Prompt-Based Opponent Reasoning,D,,D,1.0
348,Grim Trigger,Explicit Opponent Simulation,D,D,D,1.0
349,Grim Trigger,Prompt-Based Opponent Reasoning,C,,C,3.0
349,Grim Trigger,Explicit Opponent Simulation,D,C,C,5.0
350,Tit-for-Tat,Prompt-Based Opponent Reasoning,C,,C,3.0
350,Tit-for-Tat,Explicit Opponent Simulation,D,C,C,5.0
351,Tit-for-Tat,Prompt-Based Opponent Reasoning,C,,D,0.0
351,Tit-for-Tat,Explicit Opponent Simulation,D,D,D,1.0
352,Alternating,Prompt-Based Opponent Reasoning,D,,C,5.0
352,Alternating,Explicit Opponent Simulation,D,C,C,5.0
353,Always Defect,Prompt-Based Opponent Reasoning,D,,D,1.0
353,Always Defect,Explicit Opponent Simulation,D,D,D,1.0
354,Grim Trigger,Prompt-Based Opponent Reasoning,D,,D,1.0
354,Grim Trigger,Explicit Opponent Simulation,D,D,D,1.0
355,Always Defect,Prompt-Based Opponent Reasoning,D,,D,1.0
355,Always Defect,Explicit Opponent Simulation,D,D,D,1.0
356,Always Cooperate,Prompt-Based Opponent Reasoning,D,,C,5.0
356,Always Cooperate,Explicit Opponent Simulation,D,C,C,5.0
357,Always Defect,Prompt-Based Opponent Reasoning,D,,D,1.0
357,Always Defect,Explicit Opponent Simulation,D,D,D,1.0
358,Tit-for-Tat,Prompt-Based Opponent Reasoning,C,,D,0.0
358,Tit-for-Tat,Explicit Opponent Simulation,D,D,D,1.0
359,Alternating,Prompt-Based Opponent Reasoning,D,,D,1.0
359,Alternating,Explicit Opponent Simulation,D,D,D,1.0
360,Alternating,Prompt-Based Opponent Reasoning,D,,C,5.0
360,Alternating,Explicit Opponent Simulation,D,C,C,5.0
361,Always Defect,Prompt-Based Opponent Reasoning,D,,D,1.0
361,Always Defect,Explicit Opponent Simulation,D,D,D,1.0
362,Always Defect,Prompt-Based Opponent Reasoning,D,,D,1.0
362,Always Defect,Explicit Opponent Simulation,D,D,D,1.0
363,Grim Trigger,Prompt-Based Opponent Reasoning,D,,D,1.0
363,Grim Trigger,Explicit Opponent Simulation,D,D,D,1.0
364,Tit-for-Tat,Prompt-Based Opponent Reasoning,C,,C,3.0
364,Tit-for-Tat,Explicit Opponent Simulation,D,C,C,5.0
365,Grim Trigger,Prompt-Based Opponent Reasoning,D,,D,1.0
365,Grim Trigger,Explicit Opponent Simulation,D,D,D,1.0
366,Always Cooperate,Prompt-Based Opponent Reasoning,D,,C,5.0
366,Always Cooperate,Explicit Opponent Simulation,D,C,C,5.0
367,Always Defect,Prompt-Based Opponent Reasoning,D,,D,1.0
367,Always Defect,Explicit Opponent Simulation,D,D,D,1.0
368,Alternating,Prompt-Based Opponent Reasoning,D,,D,1.0
368,Alternating,Explicit Opponent Simulation,D,D,D,1.0
369,Alternating,Prompt-Based Opponent Reasoning,D,,C,5.0
369,Alternating,Explicit Opponent Simulation,D,C,C,5.0
370,Tit-for-Tat,Prompt-Based Opponent Reasoning,C,,C,3.0
370,Tit-for-Tat,Explicit Opponent Simulation,D,C,C,5.0
371,Always Defect,Prompt-Based Opponent Reasoning,D,,D,1.0
371,Always Defect,Explicit Opponent Simulation,D,D,D,1.0
372,Alternating,Prompt-Based Opponent Reasoning,D,,C,5.0
372,Alternating,Explicit Opponent Simulation,D,C,C,5.0
373,Grim Trigger,Prompt-Based Opponent Reasoning,D,,D,1.0
373,Grim Trigger,Explicit Opponent Simulation,D,D,D,1.0
374,Alternating,Prompt-Based Opponent Reasoning,D,,D,1.0
374,Alternating,Explicit Opponent Simulation,D,D,D,1.0
375,Tit-for-Tat,Prompt-Based Opponent Reasoning,C,,C,3.0
375,Tit-for-Tat,Explicit Opponent Simulation,D,C,C,5.0
376,Tit-for-Tat,Prompt-Based Opponent Reasoning,C,,D,0.0
376,Tit-for-Tat,Explicit Opponent Simulation,D,D,D,1.0
377,Always Defect,Prompt-Based Opponent Reasoning,D,,D,1.0
377,Always Defect,Explicit Opponent Simulation,D,D,D,1.0
378,Always Defect,Prompt-Based Opponent Reasoning,D,,D,1.0
378,Always Defect,Explicit Opponent Simulation,D,D,D,1.0
379,Tit-for-Tat,Prompt-Based Opponent Reasoning,C,,C,3.0
379,Tit-for-Tat,Explicit Opponent Simulation,D,C,C,5.0
380,Always Defect,Prompt-Based Opponent Reasoning,D,,D,1.0
380,Always Defect,Explicit Opponent Simulation,D,D,D,1.0
381,Always Cooperate,Prompt-Based Opponent Reasoning,D,,C,5.0
381,Always Cooperate,Explicit Opponent Simulation,D,C,C,5.0
382,Tit-for-Tat,Prompt-Based Opponent Reasoning,C,,C,3.0
382,Tit-for-Tat,Explicit Opponent Simulation,D,C,C,5.0
383,Alternating,Prompt-Based Opponent Reasoning,D,,C,5.0
383,Alternating,Explicit Opponent Simulation,D,C,C,5.0
384,Always Cooperate,Prompt-Based Opponent Reasoning,D,,C,5.0
384,Always Cooperate,Explicit Opponent Simulation,D,C,C,5.0
385,Tit-for-Tat,Prompt-Based Opponent Reasoning,C,,C,3.0
385,Tit-for-Tat,Explicit Opponent Simulation,D,C,C,5.0
386,Always Cooperate,Prompt-Based Opponent Reasoning,D,,C,5.0
386,Always Cooperate,Explicit Opponent Simulation,D,C,C,5.0
387,Tit-for-Tat,Prompt-Based Opponent Reasoning,C,,C,3.0
387,Tit-for-Tat,Explicit Opponent Simulation,D,C,C,5.0
388,Always Cooperate,Prompt-Based Opponent Reasoning,D,,C,5.0
388,Always Cooperate,Explicit Opponent Simulation,D,C,C,5.0
389,Grim Trigger,Prompt-Based Opponent Reasoning,C,,C,3.0
389,Grim Trigger,Explicit Opponent Simulation,D,C,C,5.0
390,Always Cooperate,Prompt-Based Opponent Reasoning,D,,C,5.0
390,Always Cooperate,Explicit Opponent Simulation,D,C,C,5.0
391,Grim Trigger,Prompt-Based Opponent Reasoning,D,,D,1.0
391,Grim Trigger,Explicit Opponent Simulation,D,D,D,1.0
392,Tit-for-Tat,Prompt-Based Opponent Reasoning,C,,C,3.0
392,Tit-for-Tat,Explicit Opponent Simulation,D,C,C,5.0
393,Grim Trigger,Prompt-Based Opponent Reasoning,C,,C,3.0
393,Grim Trigger,Explicit Opponent Simulation,D,C,C,5.0
394,Always Cooperate,Prompt-Based Opponent Reasoning,D,,C,5.0
394,Always Cooperate,Explicit Opponent Simulation,D,C,C,5.0
395,Grim Trigger,Prompt-Based Opponent Reasoning,D,,D,1.0
395,Grim Trigger,Explicit Opponent Simulation,D,D,D,1.0
396,Grim Trigger,Prompt-Based Opponent Reasoning,D,,D,1.0
396,Grim Trigger,Explicit Opponent Simulation,D,D,D,1.0
397,Always Cooperate,Prompt-Based Opponent Reasoning,D,,C,5.0
397,Always Cooperate,Explicit Opponent Simulation,D,C,C,5.0
398,Alternating,Prompt-Based Opponent Reasoning,D,,C,5.0
398,Alternating,Explicit Opponent Simulation,D,C,C,5.0
399,Grim Trigger,Prompt-Based Opponent Reasoning,D,,D,1.0
399,Grim Trigger,Explicit Opponent Simulation,D,D,D,1.0
400,Always Defect,Prompt-Based Opponent Reasoning,D,,D,1.0
400,Always Defect,Explicit Opponent Simulation,D,D,D,1.0
401,Alternating,Prompt-Based Opponent Reasoning,D,,C,5.0
401,Alternating,Explicit Opponent Simulation,D,C,C,5.0
402,Tit-for-Tat,Prompt-Based Opponent Reasoning,C,,C,3.0
402,Tit-for-Tat,Explicit Opponent Simulation,D,C,C,5.0
403,Always Defect,Prompt-Based Opponent Reasoning,D,,D,1.0
403,Always Defect,Explicit Opponent Simulation,D,D,D,1.0
404,Always Cooperate,Prompt-Based Opponent Reasoning,D,,C,5.0
404,Always Cooperate,Explicit Opponent Simulation,D,C,C,5.0
405,Grim Trigger,Prompt-Based Opponent Reasoning,D,,D,1.0
405,Grim Trigger,Explicit Opponent Simulation,D,D,D,1.0
406,Alternating,Prompt-Based Opponent Reasoning,D,,C,5.0
406,Alternating,Explicit Opponent Simulation,D,C,C,5.0
407,Alternating,Prompt-Based Opponent Reasoning,D,,D,1.0
407,Alternating,Explicit Opponent Simulation,D,D,D,1.0
408,Grim Trigger,Prompt-Based Opponent Reasoning,D,,D,1.0
408,Grim Trigger,Explicit Opponent Simulation,D,D,D,1.0
409,Alternating,Prompt-Based Opponent Reasoning,D,,D,1.0
409,Alternating,Explicit Opponent Simulation,D,D,D,1.0
